id,date,code_speaker,gender,title_original,title_language,title_english,abstract_original,abstract_language,abstract_english,audience_n,audience_female,audience_male,audience_NA,department,institute,university,country,position,position_cat,origin,total_citation_n,h_index,i10_index,most_cited_n,citation_cum,years_career,nature_index_count,nature_index_share,obs
36,30-03-2010,54,F,Demandas conflitantes entre crescimento e sobrevivência em ambientes com diferentes disponibilidades de recursos e sua interação com a microbiota do solo,port,Trade-offs between growth and survival in environments with different resource availability and their interaction with soil microbiota,NA,NA,NA,12,5,7,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
37,06-04-2010,16,M,Estratégia alternativas de acasalamento e a evolução de morfologias alternativas em machos,port,Alternative mating strategies and the evolution of alternative morphologies in males,NA,NA,NA,16,6,10,0,-,-,Univ._Western_Australia,Australia,phd_student,student,Australasia,NA,NA,NA,NA,NA,NA,NA,NA,
38,13-04-2010,253,M,Influência de gradientes ambientais sobre as distribuições de abundância de espécies de aves no sudesde do Brasil,port,Influence of environmental gradients on the abundance distributions of bird species in southeastern Brazil,NA,NA,NA,28,17,11,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
39,15-04-2010,225,M,Disputas territoriais em borboletas: is this ... Sparta?,port,Territorial disputes in butterflies: is this ... Sparta?,NA,NA,NA,15,9,6,0,-,-,UFC,Brasil,professor,professor,Brasil,1095,17,28,93,262,11,13,4.62,
40,18-04-2010,222,M,Efeitos letais e subletais da poluição por nitrogênio inorgânico em larvas de anuros,port,Lethal and sublethal effects of inorganic nitrogen pollution on anuran larvae,NA,NA,NA,13,8,5,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
41,11-05-2010,99,M,Tempo e detecção imperfeita em estimativas de ocorrência de aves neotropicais,port,Time and imperfect detection in neotropical bird occurrence estimates,NA,NA,NA,23,16,8,0,-,-,STRI,Panamá,postdoc,postdoc,AmLat,NA,NA,NA,NA,NA,NA,NA,NA,
42,07-06-2010,67,M,Por que biólogos de campo devia aprender meta-análise?,port,Why should field biologists learn meta-analysis?,NA,NA,NA,18,10,8,0,-,-,Univ._Otago,Nova_Zelândia,phd_student,student,Australasia,NA,NA,NA,NA,NA,NA,NA,NA,
43,16-06-2010,127,M,Dinâmica de uso e ocupação do solo em Mata Atlântica: o que se sabe sobre os padrões de regeneração florestal? ,port,Land use and land cover dynamics in Atlantic Forest: what is known about forest regeneration patterns? ,NA,NA,NA,15,5,10,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
44,30-06-2010,237,F,Facilitação e modelos matemáticos,port,Facilitation and mathematical models,NA,NA,NA,18,8,10,0,-,-,UFRJ,Brasil,master_student,student,Brasil,NA,NA,NA,NA,NA,NA,NA,NA,
45,10-08-2010,219,F,Condicionantes ambientais dos padrões de beta-diversidade em comunidades de anfíbios no Cerrado,port,Environmental drivers of beta-diversity patterns in amphibian communities in the Cerrado,"Foi utilizada a ferramenta de Modelos Generalizados de Dissimilaridade para descrever a relação entre dissimilaridades ambientais e biológicas em comunidades de anuros no Cerrado e definir sub-regiões onde são esperadas faunas mais similares, em função das caracteristias ambientais. Os fatores que mais contribuíram para o modelo foram inclinação do terreno, precipitação anual e temperatura mínima, que estão diretamente relacionados à disponibilidade e à duração de sítios reprodutivos, bem como aos limites de tolerância fisiológica dos anfíbios. As sub-regiões do Cerrado com maior sobreposição com o envelope ambiental da Mata Atlântica apresentaram maior número de espécies exclusivas e refletem os altos valores de endemismo das comunidades deste bioma. Por outro lado, sub-regiões com sobreposição com o envelope ambiental da Amazônia e Caatinga, apresentaram poucas espécies exclusivas e refletem os baixos níveis de endemismo restrito em comunidades de ambos os biomas",port,"The Generalized Dissimilarity Models tool was used to describe the relationship between environmental and biological dissimilarities in anuran communities in the Cerrado and define sub-regions where more similar faunas are expected, depending on environmental characteristics. The factors that contributed most to the model were land slope, annual precipitation and minimum temperature, which are directly related to the availability and duration of breeding sites, as well as to the physiological tolerance limits of amphibians. The Cerrado sub-regions with greater overlap with the Atlantic Forest environmental envelope showed higher numbers of unique species and reflect the high endemism values of the communities of this biome. On the other hand, sub-regions with overlapping environmental envelopes of the Amazon and Caatinga, showed few exclusive species and reflect the low levels of restricted endemism in communities of both biomes",23,10,13,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
46,17-08-2010,103,M,Should I stay or should I go? Costs and benefits of paternal care in a harvestman species,en,Should I stay or should I go? Costs and benefits of paternal care in a harvestman species,"É esperado  que o comportamento de cuidado parental evolua apenas quando os benefícios em termos de aumento de sobrevivência da prole sejam maiores do que os custos pagos pelos indivíduos parentais por exibirem este comportamento. Nesta apresentação, irei mostrar resultados obtidos com uma espécie de opilião (Iporangaia pustulosa) que apresenta cuidado paternal, na qual quantifiquei os efeitos do cuidado sobre a sobrevivência dos ovos, assim como sobre a condição física dos machos guardiões, a sobrevivência desses adultos e suas oportunidades adicionais de cópula. Este é o primeiro estudo realizado em condições naturais a quantificar de forma completa os custos e os benefícios do cuidado paternal em uma espécie de artrópode. Irei mostrar que a guarda dos ovos pelos machos é essencial para a sobrevivência dos ovos, visto que a predação é relativamente alta na área estudada. Em decorrência disso, os machos permanecem muito tempo associados às suas desovas, restringindo seu forrageamento e, consequentemente, apresentam um decaimento em suas condições físicas ao longo do período de cuidado. Entretanto, não existe um efeito negativo sobre a sobrevivência dos indivíduos parentais que, na verdade, apresentam uma taxa de sobrevivência mais alta do que outros indivíduos na população que não cuidam dos ovos. Finalmente, o cuidado paternal não restringe a aquisição de novas cópulas pelos machos guardiões mas sim aumenta sua atratividade frente a novas parceiras sexuais. Assim, o cuidado paternal em I. pustulosa apresenta custos excepcionalmente baixos em relação aos grandes benefícios usufruídos tanto pela prole quanto pelos machos guardiões.",port,"It is expected that parental caring behavior will evolve only when the benefits in terms of increased offspring survival are greater than the costs paid by parental individuals for exhibiting this behavior. In this presentation, I will show results obtained with an opilion species (Iporangaia pustulosa) that exhibits parental care, in which I quantified the effects of care on egg survival, as well as on the fitness of the guardian males, the survival of these adults, and their additional copulation opportunities. This is the first study conducted under natural conditions to fully quantify the costs and benefits of paternal care in an arthropod species. I will show that egg guarding by males is essential for egg survival, since predation is relatively high in the area studied. As a result, males remain associated with their spawn for a long time, restricting their foraging, and consequently show a decline in their physical condition over the care period. However, there is no negative effect on the survival of parental individuals, which in fact have a higher survival rate than other individuals in the population that do not care for eggs. Finally, paternal care does not restrict the acquisition of new copulations by guardian males but rather increases their attractiveness to new sexual partners. Thus, paternal care in I. pustulosa has exceptionally low costs in relation to the large benefits enjoyed by both the offspring and the guardian males.",16,9,7,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
47,31-08-2010,149,M,Homogenization of suburban bird assemblages: an Australian perspective,en,Homogenization of suburban bird assemblages: an Australian perspective,"Much of the research on homogenisation of urban bird assemblages has focused on identifying traits of invading species or invaded habitats.  The research has also focused on a relatively small group of commensal or synanthropic bird species common to centres of cities throughout the Northern Hemisphere.  Less attention has been paid to suburban areas within large cities of the south, states of flux in assemblages, and to spatial and temporal disjunctions within cities.  The research reported here was conducted in Melbourne, Australia; a metropolis of approximately four million people covering some 880,000 ha, established in 1835.  It is built on lava flows to the west, sedimentary hills to the east, and sand sheets to the southeast.  Data on bird occurrence were extracted from the Birds Australia Atlas II database, and aggregated into species lists within 1-km2 grid cells.  Patterns of species abundance and distribution were examined using ordination, hierarchical cluster analysis, and guild analysis.  Relationships with environmental and human demographic gradients were also analysed.  Due the effects of strong geographic differences in topography, geography and rainfall, which related strongly to bird assemblages organised by foraging, nest substrate and dispersal guilds, the data were partitioned into eastern and western subsets and re-analysed.  Bird assemblages of recently developed areas of Melbourne in the west appeared to be in a state of flux, in the early stages of converging towards the more established suburban and urban assemblage patterns evident in the older parts of eastern Melbourne.  Urban areas may need to be environmentally partitioned before the pattern of their bird assemblages can be fully understood.",en,"Much of the research on homogenisation of urban bird assemblages has focused on identifying traits of invading species or invaded habitats.  The research has also focused on a relatively small group of commensal or synanthropic bird species common to centres of cities throughout the Northern Hemisphere.  Less attention has been paid to suburban areas within large cities of the south, states of flux in assemblages, and to spatial and temporal disjunctions within cities.  The research reported here was conducted in Melbourne, Australia; a metropolis of approximately four million people covering some 880,000 ha, established in 1835.  It is built on lava flows to the west, sedimentary hills to the east, and sand sheets to the southeast.  Data on bird occurrence were extracted from the Birds Australia Atlas II database, and aggregated into species lists within 1-km2 grid cells.  Patterns of species abundance and distribution were examined using ordination, hierarchical cluster analysis, and guild analysis.  Relationships with environmental and human demographic gradients were also analysed.  Due the effects of strong geographic differences in topography, geography and rainfall, which related strongly to bird assemblages organised by foraging, nest substrate and dispersal guilds, the data were partitioned into eastern and western subsets and re-analysed.  Bird assemblages of recently developed areas of Melbourne in the west appeared to be in a state of flux, in the early stages of converging towards the more established suburban and urban assemblage patterns evident in the older parts of eastern Melbourne.  Urban areas may need to be environmentally partitioned before the pattern of their bird assemblages can be fully understood.",15,9,6,0,-,-,Univ._Tasmania,Australia,phd_student,student,Australasia,NA,NA,NA,NA,NA,NA,NA,NA,
48,13-09-2010,204,F,Hunting for livelihoods in tropical forests: examples from the Congo Basin,en,Hunting for livelihoods in tropical forests: examples from the Congo Basin,"The word bushmeat crisis although originating in Africa, is now widely used across tropical areas and tends to be used to describe overhunting of wildlife for human consumption in tropical areas. Several studies have documented bushmeat as the main source of dietary protein and one of the most important sources of income for rural people in Central Africa, where the current annual harvest could exceed two million tonnes. There is evidence illustrating that the scale of hunting, occurring in these regions, poses a threat to many tropical forest species. Local extinctions of hunted species are widespread in West and Central Africa. However, the long-term persistence of the bushmeat trade suggests that the trade can be sustainable. Vulnerable taxa (slow reproducers) support low levels of hunting and are often depleted in hunted areas, but robust taxa (fast reproducers), such as rodents and small antelopes, are resilient to hunting pressure and persist even in agricultural landscapes around the cities. In this lecture, I would like to address the following thematic areas:  1. The extend and the importance of the bushmeat crisis” in Central Africa and the ecological impacts of overharvesting; 2. Challenges in measuring the sustainability of hunting; 3. The economic importance of the  bushmeat sector; 4. Consumption  patterns and nutritional value of bushmeat; 5. Key factors influencing the demand for bushmeat; 6. The dynamics of the bushmeat trade; 7. The determinants of bushmeat consumption; and  8. Recommendations for a sustainable use of wildlife resources. I hope this lecture will motivate a participatory discussion on inter continental comparisons concerning the use of wildlife  resources for food.",en,"The word bushmeat crisis although originating in Africa, is now widely used across tropical areas and tends to be used to describe overhunting of wildlife for human consumption in tropical areas. Several studies have documented bushmeat as the main source of dietary protein and one of the most important sources of income for rural people in Central Africa, where the current annual harvest could exceed two million tonnes. There is evidence illustrating that the scale of hunting, occurring in these regions, poses a threat to many tropical forest species. Local extinctions of hunted species are widespread in West and Central Africa. However, the long-term persistence of the bushmeat trade suggests that the trade can be sustainable. Vulnerable taxa (slow reproducers) support low levels of hunting and are often depleted in hunted areas, but robust taxa (fast reproducers), such as rodents and small antelopes, are resilient to hunting pressure and persist even in agricultural landscapes around the cities. In this lecture, I would like to address the following thematic areas:  1. The extend and the importance of the bushmeat crisis” in Central Africa and the ecological impacts of overharvesting; 2. Challenges in measuring the sustainability of hunting; 3. The economic importance of the  bushmeat sector; 4. Consumption  patterns and nutritional value of bushmeat; 5. Key factors influencing the demand for bushmeat; 6. The dynamics of the bushmeat trade; 7. The determinants of bushmeat consumption; and  8. Recommendations for a sustainable use of wildlife resources. I hope this lecture will motivate a participatory discussion on inter continental comparisons concerning the use of wildlife  resources for food.",21,9,12,0,-,-,Univ._Copenhagen,Dinamarca,postdoc,postdoc,Europa,NA,NA,NA,NA,NA,NA,NA,NA,
49,28-09-2010,17,M,Diversificação de curculionídeos (Coleoptera) e sua associação com plantas hospedeiras (Arecaceae),port,Diversification of curculionids (Coleoptera) and their association with host plants (Arecaceae),NA,NA,NA,20,9,6,0,Zoologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
50,05-10-2010,78,F,Water bird communities in artificial wetlands: community structure and management strategies,en,Water bird communities in artificial wetlands: community structure and management strategies,"In the last 30 years, more than 2700 irrigation ponds have been constructed in the southeastern Spain to store the water for agricultural purposes. The ponds are located within a network of wetlands with international importance for waterbids. Several bird species use the ponds both in the breeding and in the wintering season to breed, forage and rest. Therefore, a more detailed knowledge of the processes shaping waterbirds distribution in the ponds can be used to develop management strategies to conceal conservation and agricultural use. Moreover, the system ponds-waterbirds can be used to test some of the theoretical patterns in ecology",en,"In the last 30 years, more than 2700 irrigation ponds have been constructed in the southeastern Spain to store the water for agricultural purposes. The ponds are located within a network of wetlands with international importance for waterbids. Several bird species use the ponds both in the breeding and in the wintering season to breed, forage and rest. Therefore, a more detailed knowledge of the processes shaping waterbirds distribution in the ponds can be used to develop management strategies to conceal conservation and agricultural use. Moreover, the system ponds-waterbirds can be used to test some of the theoretical patterns in ecology",16,9,7,0,-,-,Univ._Miguel_Hernandez,Espanha,postdoc,postdoc,Europa,NA,NA,NA,NA,NA,NA,NA,NA,
51,19-10-2010,281,M,Effects of habitat amount on a landscape scale on demographic mechanisms in Atlantic forest small mammals,en,Effects of habitat quantity in the landscape on demographic mechanisms in small mammals in the Atlantic Forest,"Although the amount of remaining habitat in fragmented landscapes is likely to have an impact on biodiversity patterns, few fragmentation studies include this parameter. In the highly fragmented coastal Atlantic forest, investigations on the amount of remaining forest showed a significant effect on abundance of the endemic small mammal species: while abundance was independent of fragment size in a landscape with 100 and 50 % of remaining forest, abundance was positively correlated with fragment size in a landscape with only 30 % of remaining forest. To understand demographic processes leading to this pattern, we studied the demography of four small mammal species (one endemic marsupial, two endemic rodents, one non-endemic rodent) in small fragments and continuous forest of these landscapes using population parameter modeling in the program MARK. We investigated demographic parameters and used Akaike´s information criterion (AIC) for model selection to define most parsimonious models, which were used for parameter estimation. We tested the hypothesis that amount of habitat on a landscape scale influences immigration into fragments from neighboring habitat patches. 
Models selection procedures favored models comprising higher survival in small fragments of the 50 % landscape compared to small fragments of the 30 % landscape for endemic species. Moreover, a lower number of immigrants was calculated in the 30 % landscape compared to the 50% and the 100% landscape for endemic species. For the non-endemic species, amount of habitat had no influence on immigration rates. 
The results underline the necessity to consider the amount of remaining habitat in management plans of fragmented landscapes in order to successfully maintain endemic small mammal species.
",en,"Although the amount of remaining habitat in fragmented landscapes is likely to have an impact on biodiversity patterns, few fragmentation studies include this parameter. In the highly fragmented coastal Atlantic forest, investigations on the amount of remaining forest showed a significant effect on abundance of the endemic small mammal species: while abundance was independent of fragment size in a landscape with 100 and 50 % of remaining forest, abundance was positively correlated with fragment size in a landscape with only 30 % of remaining forest. To understand demographic processes leading to this pattern, we studied the demography of four small mammal species (one endemic marsupial, two endemic rodents, one non-endemic rodent) in small fragments and continuous forest of these landscapes using population parameter modeling in the program MARK. We investigated demographic parameters and used Akaike´s information criterion (AIC) for model selection to define most parsimonious models, which were used for parameter estimation. We tested the hypothesis that amount of habitat on a landscape scale influences immigration into fragments from neighboring habitat patches. 
Models selection procedures favored models comprising higher survival in small fragments of the 50 % landscape compared to small fragments of the 30 % landscape for endemic species. Moreover, a lower number of immigrants was calculated in the 30 % landscape compared to the 50% and the 100% landscape for endemic species. For the non-endemic species, amount of habitat had no influence on immigration rates. 
The results underline the necessity to consider the amount of remaining habitat in management plans of fragmented landscapes in order to successfully maintain endemic small mammal species.
",18,12,6,0,Zoologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
